GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.exception,CustomException.InvalidTicketException,0,4,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.exception,CustomException.NoAvailableParkingSpotException,4,0,0,0,2,0,1,0,1,0
parking-system,com.parkit.parkingsystem.exception,CustomException.FareCalculationException,0,18,0,0,0,3,0,2,0,2
parking-system,com.parkit.parkingsystem.exception,CustomException.TicketUpdateException,5,4,0,0,2,2,1,1,1,1
parking-system,com.parkit.parkingsystem.exception,CustomException.TicketNotFoundException,0,4,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.exception,CustomException.OutTimeBeforeInTimeException,0,4,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.exception,CustomException.TicketSaveException,0,4,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.exception,CustomException.ParkingSpotUpdateException,0,4,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.exception,CustomException.DatabaseException,0,9,0,0,0,4,0,2,0,2
parking-system,com.parkit.parkingsystem.exception,CustomException.ParkingSpotNotFoundException,4,0,0,0,2,0,1,0,1,0
parking-system,com.parkit.parkingsystem.exception,CustomException,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,17,147,1,16,3,32,1,13,0,5
parking-system,com.parkit.parkingsystem.service,ParkingService,43,404,4,34,4,83,4,24,0,9
parking-system,com.parkit.parkingsystem.service,InteractiveShell,202,0,9,0,64,0,15,0,9,0
parking-system,com.parkit.parkingsystem,App,69,0,2,0,17,0,4,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,54,30,7,1,9,11,8,6,4,6
parking-system,com.parkit.parkingsystem.model,Ticket,24,45,4,0,4,19,3,13,1,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,57,9,4,0,21,2,6,1,4,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,23,379,6,34,4,93,6,21,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,18,315,8,22,5,81,8,17,0,10
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
